MAV,G,MAV1,MAV2,SSI,VAR,TM3,TM5,RMS,LOG,WL,ZC,AAC,DASDV,FFT,PSR,MNF,WAMP,IEMG,logDetect,Label
0.031075731067233197,-28.818,0.5001249687578105,1.9987037150203826,8.529568000000001,0.002079980157672404,0.031075731067233197,0.00213185903524119,0.04617205903185594,0.0301107059641499,133.138,0.0,0.0332845,0.04929164229359781,2.375183474658589,0.02433504125328644,0.0,0.031075731067233197,124.33400000000002,120.47293456256375,ok
0.02982154461384654,-27.984,0.5003749062734316,1.9991767906561226,10.661168,0.0026157062903731706,0.02982154461384654,0.002664625843539115,0.05162001398236071,0.02880745856145633,119.334,0.0,0.029833500000000002,0.052021111099245086,2.8418657528091673,0.018358882649344405,0.0,0.02982154461384654,119.31600000000002,115.25864170438678,ok
0.028009747563109224,-26.685000000000002,0.5006248437890527,1.9995001249687578,14.791115,0.0036523712042496755,0.028009747563109224,0.0036968545363659086,0.060801764253727936,0.026917296647540313,111.81300000000002,0.0,0.027953250000000006,0.060642412963205876,3.5239339433287284,0.012032751540167913,1.6126639282073866e-17,0.028009747563109224,112.06700000000001,107.6961038868088,ok
0.033948262934266435,-26.025,0.5008747813046738,1.9995001249687578,24.545057,0.00609242043600572,0.033948262934266435,0.00613473056735816,0.07832452085623097,0.03234501111869993,136.32000000000002,0.0,0.034080000000000006,0.07919878786951225,4.598272655504266,0.006896819817575274,0.0,0.033948262934266435,135.827,129.41238948591842,ok
0.02527343164208948,-25.083000000000006,0.501124718820295,1.9995001249687578,29.280074999999997,0.007278886550919132,0.02527343164208948,0.0073181892026993245,0.08554641548714548,0.023957809003917183,98.626,0.0,0.0246565,0.08553484085447287,5.229976743318762,0.005370543271236733,2.173210870603478e-17,0.02527343164208948,101.11900000000001,95.85519382467265,ok
0.032014496375906025,-23.59,0.501374656335916,1.998912360434635,43.258736000000006,0.010777217882232766,0.032014496375906025,0.010811981004748814,0.10398067611219315,0.030142637339225203,125.055,0.0,0.03126375,0.10364773875970473,6.313369079444293,0.003215240805619085,0.0,0.032014496375906025,128.09,120.60069199424004,ok
0.031221944513871534,-23.011000000000003,0.5016245938515371,1.9991107612218415,55.703715000000024,0.013889370546266206,0.031221944513871534,0.013922448137965514,0.11799342413018411,0.029197362258939905,118.73100000000002,0.0,0.029682750000000004,0.11745251274451304,7.255133540592917,0.0023758459267735135,0.0,0.031221944513871534,124.91900000000001,116.81864639801856,ok
0.026091977005748564,-22.026,0.5018745313671582,1.9995001249687578,68.295796,0.017039375192442825,0.026091977005748564,0.017069681579605096,0.13065099149874485,0.024126208340019075,100.655,0.0,0.02516375,0.13021420141443868,8.1472436958123,0.0017754512303545143,0.0,0.026091977005748564,104.394,96.52895956841633,ok
0.026827793051737065,-21.03,0.5021244688827793,1.9995001249687578,85.73853600000001,0.021401649190051886,0.026827793051737065,0.021429276680829796,0.1463874198175164,0.0245880274584475,104.554,0.0,0.026138500000000002,0.14617111889836518,9.137989189334325,0.0012892404717798004,0.0,0.026827793051737065,107.338,98.37669786124845,ok
0.02920244938765309,-19.881000000000004,0.5023744063984004,1.9995001249687578,105.57050499999998,0.026361338704564054,0.02920244938765309,0.026386029742564356,0.16243777190839684,0.026638882672897195,106.16600000000001,0.0,0.026541500000000003,0.16190904699861586,10.147493626501156,0.0009357617739845063,0.0,0.02920244938765309,116.83900000000001,106.58216957426168,ok
0.033570357410647345,-18.767000000000003,0.5026243439140214,1.9987037150203826,128.52914700000002,0.03210225417014904,0.033570357410647345,0.03212425568607848,0.17923240690812162,0.030553837013775967,143.138,0.0,0.035784500000000004,0.1799117144601763,11.178909013943246,0.000684887959566802,2.0334439250569627e-17,0.033570357410647345,134.31500000000003,122.24590189211764,ok
