1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
-0.006,-0.006,0.0,-0.003,-0.01,-0.016,0.0,0.0,-0.01,-0.022,-0.006,-0.006,0.0,-0.003,-0.01,-0.016,0.0,0.0,-0.01,-0.022,-0.243,-0.01,-0.042,-0.042,0.086,-0.246,0.029,-0.093,0.035,0.022,-0.032,-0.061,-0.01,-0.048,0.07,0.064,0.08,0.019,-0.067,-0.032,0.019,-0.026,0.01,0.073,0.099,0.038,-0.029,-0.118,-0.042,-0.035
-0.003,-0.003,0.0,-0.003,-0.022,-0.019,-0.006,0.01,-0.003,0.003,-0.003,-0.003,0.0,-0.003,-0.022,-0.019,-0.006,0.01,-0.003,0.003,-0.16,-0.01,-0.032,-0.026,0.048,-0.182,0.073,-0.141,0.013,0.013,-0.029,-0.051,0.01,-0.045,0.061,0.061,0.061,-0.013,-0.073,-0.013,0.064,0.0,0.006,0.022,0.112,0.089,-0.067,-0.022,-0.019,-0.019
0.016,-0.003,-0.013,-0.019,-0.019,-0.003,-0.016,0.006,-0.006,0.003,0.016,-0.003,-0.013,-0.019,-0.019,-0.003,-0.016,0.006,-0.006,0.003,-0.08,0.0,-0.013,-0.006,0.01,0.022,0.032,-0.141,-0.051,-0.045,0.013,-0.042,0.038,0.019,0.042,0.029,0.054,-0.022,-0.045,-0.003,0.013,0.01,0.019,0.013,0.089,0.147,-0.08,0.089,0.0,0.013
0.022,-0.016,-0.045,-0.006,-0.026,-0.006,-0.01,0.01,0.0,-0.006,0.022,-0.016,-0.045,-0.006,-0.026,-0.006,-0.01,0.01,0.0,-0.006,0.179,-0.016,0.026,0.019,-0.115,0.061,-0.064,-0.182,-0.022,-0.003,0.0,-0.032,-0.003,0.102,0.029,-0.08,0.045,-0.042,-0.029,0.003,0.045,-0.022,0.003,-0.016,0.029,0.137,-0.141,0.112,0.022,0.057
0.003,-0.006,-0.038,-0.006,-0.003,-0.013,-0.016,0.003,-0.003,-0.003,0.003,-0.006,-0.038,-0.006,-0.003,-0.013,-0.016,0.003,-0.003,-0.003,0.15,-0.003,0.032,0.013,-0.115,0.045,-0.125,-0.105,-0.057,0.073,-0.042,-0.035,0.022,0.137,-0.006,-0.157,0.006,-0.07,-0.026,0.013,0.032,-0.038,0.0,-0.026,-0.006,0.061,-0.144,0.0,0.051,0.061
-0.01,-0.01,-0.026,-0.003,0.0,-0.019,-0.016,-0.01,-0.019,0.0,-0.01,-0.01,-0.026,-0.003,0.0,-0.019,-0.016,-0.01,-0.019,0.0,-0.153,-0.013,0.035,-0.006,-0.038,0.073,-0.131,-0.003,-0.077,0.08,-0.026,-0.032,-0.003,0.013,-0.032,-0.061,-0.019,-0.042,-0.022,0.019,-0.019,0.01,-0.013,-0.042,-0.022,-0.032,-0.121,-0.073,0.073,0.089
0.013,-0.006,-0.01,-0.01,-0.01,-0.013,-0.026,-0.01,-0.026,0.0,0.013,-0.006,-0.01,-0.01,-0.01,-0.013,-0.026,-0.01,-0.026,0.0,0.201,-0.067,0.057,-0.003,-0.029,0.073,-0.064,0.01,-0.147,0.064,0.064,-0.022,0.038,-0.07,-0.067,-0.112,-0.042,-0.029,-0.022,0.013,-0.038,0.029,-0.016,-0.061,-0.026,-0.07,-0.029,-0.038,0.077,0.054
0.029,-0.003,-0.006,0.006,-0.022,-0.006,-0.022,-0.016,-0.003,-0.01,0.029,-0.003,-0.006,0.006,-0.022,-0.006,-0.022,-0.016,-0.003,-0.01,0.246,-0.045,0.022,-0.01,0.013,0.089,0.032,0.019,-0.118,0.073,0.093,-0.01,0.022,0.019,-0.061,-0.105,-0.038,-0.019,-0.006,0.01,-0.08,-0.013,-0.006,-0.054,-0.016,-0.038,0.051,0.073,0.057,-0.003
0.016,-0.016,-0.019,-0.003,-0.003,-0.003,-0.003,-0.013,0.006,-0.013,0.016,-0.016,-0.019,-0.003,-0.003,-0.003,-0.003,-0.013,0.006,-0.013,0.179,-0.013,-0.026,0.01,0.038,0.121,0.096,0.022,-0.054,0.067,-0.01,0.01,-0.073,0.038,-0.048,-0.057,-0.035,-0.016,0.01,0.038,-0.128,-0.064,-0.022,-0.013,-0.003,0.016,0.067,0.032,0.022,0.026
-0.003,0.01,-0.019,0.0,0.016,-0.003,-0.003,-0.006,-0.003,0.003,-0.003,0.01,-0.019,0.0,0.016,-0.003,-0.003,-0.006,-0.003,0.003,0.316,0.038,-0.061,0.038,0.045,0.064,0.089,0.029,0.003,0.051,0.032,0.006,-0.003,0.01,-0.035,-0.01,-0.003,-0.016,0.022,0.07,-0.042,-0.054,-0.051,0.019,-0.003,0.07,0.067,-0.026,0.01,-0.006
