1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
-0.013,-0.026,-0.01,-0.016,-0.01,-0.006,0.0,0.0,-0.006,0.0,-0.013,-0.026,-0.01,-0.016,-0.01,-0.006,0.0,0.0,-0.006,0.0,0.006,-0.006,-0.01,-0.022,-0.032,-0.029,-0.01,0.038,0.026,0.01,0.006,0.01,-0.003,0.0,0.0,-0.026,-0.022,-0.029,-0.006,0.022,-0.038,-0.022,0.026,0.064,0.006,0.115,0.054,0.003,0.096,0.182
-0.01,-0.013,-0.01,0.0,-0.01,-0.006,-0.003,-0.006,0.0,-0.006,-0.01,-0.013,-0.01,0.0,-0.01,-0.006,-0.003,-0.006,0.0,-0.006,0.016,-0.013,-0.016,-0.013,-0.013,-0.035,-0.022,0.022,0.038,0.029,0.01,0.016,0.003,0.003,0.006,-0.013,-0.026,-0.032,-0.026,0.006,-0.035,-0.029,-0.013,0.022,-0.016,0.048,-0.006,-0.022,0.061,0.077
-0.01,-0.01,0.0,-0.006,-0.003,-0.003,0.0,0.003,-0.01,-0.003,-0.01,-0.01,0.0,-0.006,-0.003,-0.003,0.0,0.003,-0.01,-0.003,0.032,-0.01,-0.003,-0.006,-0.013,-0.029,-0.032,0.016,0.035,0.038,0.019,0.022,0.013,0.01,-0.026,-0.01,-0.016,-0.019,-0.035,-0.029,-0.026,-0.026,-0.029,-0.019,-0.029,-0.003,-0.026,-0.029,0.01,0.057
-0.003,-0.013,-0.003,-0.006,-0.006,0.0,0.006,0.006,-0.013,-0.006,-0.003,-0.013,-0.003,-0.006,-0.006,0.0,0.006,0.006,-0.013,-0.006,0.019,0.0,-0.006,-0.013,-0.013,-0.026,-0.029,0.0,0.029,0.032,0.032,0.026,0.019,0.01,-0.016,0.0,-0.01,-0.01,-0.032,-0.038,-0.026,-0.022,-0.026,-0.038,-0.032,-0.026,-0.035,-0.029,-0.016,-0.051
-0.003,-0.003,-0.003,0.003,-0.013,-0.016,-0.006,-0.003,-0.006,-0.003,-0.003,-0.003,-0.003,0.003,-0.013,-0.016,-0.006,-0.003,-0.006,-0.003,0.042,0.0,0.0,0.003,-0.006,-0.019,-0.022,-0.006,0.022,0.035,0.038,0.016,0.038,0.022,0.0,-0.003,-0.006,-0.01,-0.022,-0.029,-0.026,-0.019,-0.022,-0.048,-0.029,-0.042,-0.026,-0.026,-0.026,-0.23
-0.013,0.006,-0.003,-0.003,-0.013,-0.006,-0.006,0.0,-0.01,-0.003,-0.013,0.006,-0.003,-0.003,-0.013,-0.006,-0.006,0.0,-0.01,-0.003,0.051,0.003,0.006,0.022,0.01,-0.013,-0.022,-0.022,0.016,0.026,0.035,0.016,0.048,0.029,0.019,0.003,-0.003,-0.003,-0.013,-0.022,-0.013,-0.016,-0.022,-0.022,-0.022,-0.042,-0.022,-0.026,-0.026,-0.284
-0.022,0.01,-0.003,-0.003,-0.006,-0.01,0.003,-0.003,-0.013,-0.016,-0.022,0.01,-0.003,-0.003,-0.006,-0.01,0.003,-0.003,-0.013,-0.016,0.032,0.006,0.0,0.016,0.019,-0.006,-0.013,-0.029,0.003,0.029,0.035,0.035,0.054,0.038,0.048,0.016,0.0,-0.006,-0.013,-0.013,-0.013,-0.01,-0.016,-0.016,-0.016,-0.026,-0.022,-0.022,-0.022,-0.204
-0.016,-0.003,-0.003,-0.006,-0.006,0.0,-0.003,-0.013,-0.006,-0.006,-0.016,-0.003,-0.003,-0.006,-0.006,0.0,-0.003,-0.013,-0.006,-0.006,0.048,0.006,0.01,0.003,0.013,-0.003,-0.01,-0.032,-0.016,0.01,0.022,0.029,0.054,0.035,0.073,0.006,0.006,0.0,-0.006,-0.013,-0.057,0.0,-0.013,-0.013,-0.013,-0.022,-0.016,-0.013,-0.022,-0.003
-0.003,-0.003,0.0,-0.013,-0.006,-0.006,-0.006,-0.016,-0.006,0.003,-0.003,-0.003,0.0,-0.013,-0.006,-0.006,-0.006,-0.016,-0.006,0.003,0.051,0.019,0.022,-0.013,0.0,-0.003,0.0,-0.022,-0.029,-0.003,0.013,0.026,0.035,0.029,0.022,0.019,0.01,0.003,-0.013,-0.013,-0.093,-0.016,-0.006,-0.01,-0.003,-0.016,-0.013,-0.006,-0.019,0.105
0.0,-0.013,-0.01,-0.006,-0.01,-0.01,-0.006,-0.019,-0.006,0.0,0.0,-0.013,-0.01,-0.006,-0.01,-0.01,-0.006,-0.019,-0.006,0.0,0.035,0.026,0.042,0.01,-0.006,0.0,-0.006,-0.022,-0.026,-0.019,-0.006,0.01,0.019,0.026,0.022,0.029,0.016,0.003,0.003,-0.003,-0.073,-0.038,-0.013,-0.003,-0.035,-0.006,-0.006,-0.038,-0.013,0.204
0.006,-0.016,-0.013,-0.003,-0.01,-0.019,-0.016,-0.032,-0.013,-0.006,0.006,-0.016,-0.013,-0.003,-0.01,-0.019,-0.016,-0.032,-0.013,-0.006,0.051,0.026,0.045,0.032,0.003,0.013,0.003,-0.013,-0.019,-0.038,-0.016,-0.01,0.0,0.006,0.035,0.038,0.022,0.01,0.003,0.0,-0.032,-0.07,-0.054,0.0,-0.073,-0.006,-0.038,-0.064,-0.01,0.172
-0.013,-0.01,-0.013,-0.003,-0.013,0.0,0.0,-0.016,-0.013,-0.013,-0.013,-0.01,-0.013,-0.003,-0.013,0.0,0.0,-0.016,-0.013,-0.013,0.061,0.038,0.035,0.022,0.029,0.01,0.0,-0.003,-0.016,-0.026,-0.026,-0.026,-0.026,-0.003,0.026,0.042,0.032,0.029,0.003,-0.006,-0.006,-0.045,-0.067,-0.042,-0.07,-0.073,-0.061,-0.061,-0.042,0.105
-0.003,-0.016,-0.019,-0.006,-0.006,-0.006,-0.006,-0.013,-0.006,-0.01,-0.003,-0.016,-0.019,-0.006,-0.006,-0.006,-0.006,-0.013,-0.006,-0.01,0.016,0.035,0.026,0.022,0.032,0.026,0.01,-0.003,-0.013,-0.016,-0.029,-0.035,-0.029,-0.019,0.006,0.029,0.032,0.038,0.016,0.0,0.032,-0.026,-0.051,-0.051,-0.038,-0.096,-0.054,-0.032,-0.08,0.022
-0.006,-0.006,-0.016,-0.013,-0.006,-0.003,-0.006,0.0,-0.016,-0.003,-0.006,-0.006,-0.016,-0.013,-0.006,-0.003,-0.006,0.0,-0.016,-0.003,-0.006,0.029,0.026,0.019,0.032,0.032,0.026,-0.003,-0.003,-0.016,-0.026,-0.032,-0.042,-0.038,-0.016,0.032,0.038,0.035,0.026,0.0,0.061,0.01,-0.022,-0.029,-0.006,-0.07,-0.022,-0.003,-0.067,-0.057
-0.003,0.0,-0.006,-0.013,0.0,-0.013,-0.019,-0.003,-0.003,-0.016,-0.003,0.0,-0.006,-0.013,0.0,-0.013,-0.019,-0.003,-0.003,-0.016,-0.003,0.016,0.016,0.022,0.029,0.045,0.035,0.006,-0.003,-0.013,-0.016,-0.026,-0.038,-0.026,-0.035,0.019,0.022,0.038,0.035,0.006,0.109,0.038,0.01,-0.01,0.026,-0.022,0.006,0.022,-0.032,-0.096
-0.016,-0.003,-0.006,-0.01,-0.003,-0.016,0.003,-0.01,-0.003,-0.042,-0.016,-0.003,-0.006,-0.01,-0.003,-0.016,0.003,-0.01,-0.003,-0.042,0.003,0.003,0.0,0.022,0.026,0.045,0.045,-0.003,0.0,-0.01,-0.013,-0.016,-0.003,-0.013,-0.038,0.0,0.022,0.035,0.045,0.026,0.131,0.067,0.045,0.013,0.045,0.013,0.035,0.048,-0.003,0.003
-0.016,-0.003,-0.013,-0.022,-0.01,-0.006,-0.006,-0.016,-0.006,-0.032,-0.016,-0.003,-0.013,-0.022,-0.01,-0.006,-0.006,-0.016,-0.006,-0.032,0.0,-0.022,-0.029,0.0,0.019,0.038,0.048,0.019,0.006,-0.006,-0.01,-0.003,-0.013,-0.013,-0.029,-0.013,0.013,0.026,0.051,0.051,0.121,0.08,0.061,0.032,0.096,0.038,0.045,0.089,0.026,0.125
-0.013,-0.003,-0.01,-0.013,-0.006,-0.006,0.0,-0.013,-0.01,-0.003,-0.013,-0.003,-0.01,-0.013,-0.006,-0.006,0.0,-0.013,-0.01,-0.003,-0.029,-0.035,-0.038,-0.019,-0.003,0.029,0.038,0.022,0.003,-0.003,-0.006,0.0,-0.026,-0.006,-0.022,-0.029,-0.006,0.01,0.032,0.035,0.054,0.099,0.093,0.048,0.112,0.07,0.08,0.109,0.045,0.15
-0.016,-0.003,-0.013,-0.003,-0.003,-0.006,-0.01,-0.003,-0.013,0.0,-0.016,-0.003,-0.013,-0.003,-0.003,-0.006,-0.01,-0.003,-0.013,0.0,-0.045,-0.038,-0.035,-0.032,-0.019,0.006,0.019,0.038,0.0,0.0,-0.003,0.013,-0.016,-0.016,-0.019,-0.032,-0.032,-0.006,0.026,0.032,-0.006,0.064,0.102,0.077,0.115,0.121,0.089,0.096,0.089,0.121
-0.006,-0.01,-0.01,-0.003,0.0,-0.003,0.003,0.01,-0.003,0.0,-0.006,-0.01,-0.01,-0.003,0.0,-0.003,0.003,0.01,-0.003,0.0,-0.01,-0.029,-0.016,-0.019,-0.029,-0.013,0.0,0.045,0.022,0.01,0.0,-0.006,-0.022,-0.006,-0.016,-0.029,-0.032,-0.026,0.013,0.026,-0.026,0.01,0.077,0.083,0.08,0.121,0.093,0.064,0.105,0.003
-0.01,-0.01,0.0,0.0,-0.006,0.0,0.003,0.01,0.003,-0.003,-0.01,-0.01,0.0,0.0,-0.006,0.0,0.003,0.01,0.003,-0.003,0.01,-0.026,-0.019,-0.022,-0.029,-0.026,-0.01,0.035,0.035,0.013,0.01,-0.019,-0.029,-0.006,-0.01,-0.022,-0.026,-0.026,-0.006,0.01,-0.038,-0.01,0.022,0.07,0.01,0.105,0.054,0.003,0.102,-0.16
